Title,Category,Description
Python Programming,Programming,"python flask django programming coding"
Java Programming,Programming,"java spring backend programming"
Machine Learning,AI,"machine learning python artificial intelligence"
Deep Learning,AI,"tensorflow pytorch neural network"
Data Science,AI,"python pandas numpy visualization"
Web Development,Web,"html css javascript bootstrap react"
React JS,Web,"react javascript frontend"
Cloud Computing,Cloud,"aws azure docker kubernetes"
Cyber Security,Security,"ethical hacking linux security"
Android Development,Mobile,"android kotlin java mobile"